Dataset 6 x,Dataset 6 y
1.793580446849E0,7.905138339921E-2
3.021890058859E0,5.138339920949E-1
3.981105925854E0,9.881422924901E-1
4.751963261149E0,1.482213438735E0
5.029547053843E0,1.976284584980E0
5.029068491657E0,2.509881422925E0
5.010581811637E0,3.122529644269E0
4.866144653942E0,4.169960474308E0
4.614137351438E0,5.158102766798E0
4.380084993190E0,6.126482213439E0
4.092185526698E0,7.134387351779E0
3.526276878902E0,8.122529644269E0
2.340736546744E0,1.000000000000E1
8.591611909246E-1,1.195652173913E1
1.667880542153E-1,1.395256916996E1
